date,year,Period,year_period,Sum of P,Average of T,Sum of RAIN,Sum of SNOW,Max of PACK,Sum of MELT,Sum of W,Sum of PET,Sum of W - PET,Average of SOIL,Sum of AET,Sum of W-ET-/\SOIL,Sum of D,Sum of GDD,scaled EVI3,SPEI
2/18/2000,2000,3,2000_3,0.508,5.104166667,0.258703704,0.249296296,0.249296296,0.249296296,0.508,15.00107316,-14.49307316,35.69643851,2.761740257,4.44089E-15,12.2393329,81.66666667,0.0989777,-1.821359032
3/5/2000,2000,4,2000_4,13.716,4.027777778,11.78277778,1.933222222,1.008944444,1.933222222,13.716,14.91737313,-1.201373128,37.60839471,6.311889636,6.66134E-15,8.605483493,64.44444444,0.0961393,-1.425162025
3/21/2000,2000,5,2000_5,11.43,5.416666667,5.150555556,6.279444444,3.090333333,3.189111111,8.339666667,17.14348399,-8.803817319,45.21654101,5.663153458,1.88738E-15,11.48033053,88.61111111,0.0996873,-1.628431338
4/6/2000,2000,6,2000_6,0.762,11.12847222,0.762,0,0,3.090333333,3.852333333,25.01368604,-21.16135271,44.53482764,6.348294867,-4.55191E-15,18.66539117,178.0555556,0.1072404,-1.829622311
4/22/2000,2000,7,2000_7,0,13.81944444,0,0,0,0,0,30.06537488,-30.06537488,39.37210306,5.175380943,0,24.88999394,221.1111111,0.1081276,-1.173313227
5/8/2000,2000,8,2000_8,3.048,18.31597222,3.048,0,0,0,3.048,40.01991613,-36.97191613,34.00926745,7.751435679,8.88178E-16,32.26848045,293.0555556,0.1105981,-1.106516999
5/24/2000,2000,9,2000_9,3.048,15.86805556,3.048,0,0,0,3.048,36.8302402,-33.7822402,30.06737154,7.468008526,-1.77636E-15,29.36223167,253.8888889,0.1092091,-0.550579381
6/9/2000,2000,10,2000_10,0,24.30555556,0,0,0,0,0,57.35208134,-57.35208134,24.56925299,6.165616626,0,51.18646472,388.8888889,0.1085723,-0.883184736
6/25/2000,2000,11,2000_11,0,22.77777778,0,0,0,0,0,53.84062682,-53.84062682,19.30184036,4.543859809,0,49.29676701,364.4444444,0.1088162,-0.533951462
7/11/2000,2000,12,2000_12,7.62,23.47222222,7.62,0,0,0,7.62,55.35562947,-47.73562947,15.52022076,10.84883238,-2.77556E-15,44.50679709,375.5555556,0.1112366,-0.533989519
7/27/2000,2000,13,2000_13,0,27.43986111,0,0,0,0,0,66.0307141,-66.0307141,12.05871562,3.493422961,0,62.53729114,439.0377778,0.1129262,-0.341539903
8/12/2000,2000,14,2000_14,6.604,27.69097222,6.604,0,0,0,6.604,64.91782743,-58.31382743,10.15778348,7.291900256,-4.44089E-16,57.62592718,443.0555556,0.1088519,-0.270463633
8/28/2000,2000,15,2000_15,16.002,23.45486111,16.002,0,0,0,16.002,50.57766339,-34.57566339,10.29946898,12.17820909,1.22125E-15,38.3994543,375.2777778,0.1032321,-0.153300812
9/13/2000,2000,16,2000_16,22.352,19.84375,22.352,0,0,0,22.352,40.19214226,-17.84014226,21.78973531,11.90921723,4.88498E-15,28.28292503,317.5,0.1002321,-0.095317201
9/29/2000,2000,17,2000_17,0,18.88888889,0,0,0,0,0,37.62037121,-37.62037121,21.86985848,3.634012352,0,33.98635885,302.2222222,0.1029436,-0.275802601
10/15/2000,2000,18,2000_18,10.16,15.13888889,10.16,0,0,0,10.16,28.98574947,-18.82574947,21.30563019,5.207567125,-4.44089E-16,23.77818235,242.2222222,0.0966721,-0.463872967
10/31/2000,2000,19,2000_19,64.516,8.802083333,62.50281481,2.013185185,1.279407407,0.733777778,63.23659259,19.20680741,44.02978518,49.7649897,10.14454323,3.10862E-15,9.062264176,140.8333333,0.0968489,-0.509771897
11/16/2000,2000,20,2000_20,1.016,0.625,0.188148148,0.827851852,0.827851852,1.279407407,1.467555556,11.34171931,-9.874163756,77.02221232,4.50675038,2.77556E-16,6.834968931,24.16666667,0.0929722,0.018801093
