Date,Max W Temp (C),Min W Temp (C),Avg W Temp (C)
1/1/2015,5.205,1.67,2.857875
1/2/2015,4.74,0.605,2.281444444
1/3/2015,5.514,1.235,2.927888889
1/4/2015,6.255,2.128,3.799034722
1/5/2015,7.594,3.433,5.079173611
1/6/2015,8.693,4.272,5.954229167
1/7/2015,9.312,4.973,6.620013889
1/8/2015,9.015,4.792,6.486152778
1/9/2015,9.064,4.714,6.471083333
1/10/2015,7.544,4.895,6.217069444
1/11/2015,9.435,6.965,7.896368056
1/12/2015,8.693,7.343,7.965409722
1/13/2015,8.22,5.719,6.9653125
1/14/2015,8.568,4.376,6.032958333
1/15/2015,8.295,3.958,5.679402778
1/16/2015,7.444,3.696,5.223625
1/17/2015,8.394,4.298,5.903722222
1/18/2015,9.485,4.688,6.561173611
1/19/2015,8.369,5.024,6.530993056
1/20/2015,7.645,4.584,6.097666667
1/21/2015,8.965,5.514,6.841902778
1/22/2015,7.444,2.956,4.801576389
1/23/2015,7.268,3.354,4.877798611
1/24/2015,8.568,3.985,5.712
1/25/2015,9.509,4.506,6.430173611
1/26/2015,9.361,5.024,6.830083333
1/27/2015,10.296,6.813,8.158368056
1/28/2015,10.614,6.408,8.1756875
1/29/2015,10.124,7.242,8.527520833
1/30/2015,9.139,7.995,8.641416667
1/31/2015,10.736,7.77,8.801888889
2/1/2015,10.198,5.565,7.584027778
2/2/2015,10.638,5.308,7.523708333
2/3/2015,10.149,6,7.806173611
2/4/2015,11.102,6.051,8.171395833
2/5/2015,11.443,6.026,8.277770833
2/6/2015,10.761,5.437,7.766111111
2/7/2015,11.734,5.693,8.354472222
2/8/2015,13.209,7.393,9.563118056
2/9/2015,12.871,7.041,9.506034722
2/10/2015,12.171,6.636,8.899083333
2/11/2015,11.662,5.668,8.107791667
2/12/2015,11.589,5.128,7.926888889
2/13/2015,12.098,5.616,8.362756944
2/14/2015,12.364,5.642,8.493256944
2/15/2015,12.316,5.924,8.539965278
2/16/2015,11.005,4.844,7.544347222
2/17/2015,10.32,4.35,6.953236111
2/18/2015,11.175,4.454,7.240805556
2/19/2015,10.98,5.231,7.768527778
2/20/2015,11.929,5.565,8.251909722
2/21/2015,9.386,5.796,7.654166667
2/22/2015,8.618,7.544,7.982083333
2/23/2015,8.469,6.408,7.3089375
2/24/2015,10.956,4.869,7.331097222
2/25/2015,11.759,4.921,7.695472222
2/26/2015,11.394,5.488,7.963430556
2/27/2015,10.834,6.23,8.02975
2/28/2015,9.435,6.712,7.607479167
3/1/2015,8.891,6.433,7.503159722
3/2/2015,8.045,4.844,5.968493056
3/3/2015,7.066,3.801,5.274423611
3/4/2015,10.418,3.036,5.895888889
3/5/2015,10.565,2.503,5.935138889
3/6/2015,11.589,3.406,6.902916667
3/7/2015,12.364,4.402,7.747555556
3/8/2015,12.847,4.895,8.223993056
3/9/2015,12.896,5.308,8.528972222
3/10/2015,13.257,4.999,8.534180556
3/11/2015,11.467,6.306,8.651013889
3/12/2015,12.292,8.27,9.899979167
3/13/2015,14.96,7.242,10.37903472
3/14/2015,15.031,7.293,10.54825694
3/15/2015,15.223,7.494,10.82107639
3/16/2015,15.031,7.72,10.93084722
3/17/2015,14.96,7.895,10.9925625
3/18/2015,12.992,9.015,10.89663889
3/19/2015,15.724,8.469,11.38172917
3/20/2015,15.414,6.914,10.5894375
3/21/2015,15.151,6.965,10.445375
3/22/2015,13.834,7.469,10.27914583
3/23/2015,15.103,8.394,11.19343056
3/24/2015,15.652,8.02,11.26919444
3/25/2015,16.129,8.941,11.80508333
3/26/2015,16.296,7.569,11.30200694
3/27/2015,17.153,8.17,12.04104167
3/28/2015,17.296,8.494,12.34740972
3/29/2015,17.201,8.941,12.48322917
3/30/2015,17.891,8.891,12.79295833
3/31/2015,16.106,8.99,12.24909722
4/1/2015,16.439,9.287,12.45556944
4/2/2015,15.843,8.941,11.8173125
4/3/2015,15.294,6.433,10.32561806
4/4/2015,15.629,5.77,10.19478472
4/5/2015,14.912,6.535,10.50253472
4/6/2015,15.461,7.745,11.160125
4/7/2015,15.557,8.17,11.24123611
4/8/2015,12.582,7.619,9.822875
4/9/2015,15.939,6.433,10.5159375
4/10/2015,16.249,7.015,11.36836111
4/11/2015,16.844,7.594,11.98726389
4/12/2015,17.391,7.92,12.29258333
4/13/2015,18.438,8.419,12.98466667
4/14/2015,17.034,9.139,12.62276389
4/15/2015,13.738,6.535,9.789229167
4/16/2015,14.194,6.306,9.679895833
4/17/2015,16.034,7.494,11.14130556
4/18/2015,18.176,8.792,12.81103472
4/19/2015,18.818,9.064,13.42220833
4/20/2015,18.58,9.238,13.57385417
4/21/2015,17.701,9.089,13.27154167
4/22/2015,18.414,11.102,14.15984722
4/23/2015,17.082,9.78,13.15525694
4/24/2015,14.721,9.682,12.4731875
4/25/2015,13.209,9.632,11.75656944
4/26/2015,17.463,9.632,12.46954861
4/27/2015,18.961,8.891,13.18425
4/28/2015,20.317,10.614,14.86242361
4/29/2015,20.698,10.98,15.28952778
4/30/2015,20.341,11.394,15.48188889
5/1/2015,19.294,11.734,15.42529861
5/2/2015,19.08,11.589,15.26326389
5/3/2015,20.531,12.171,15.94218056
5/4/2015,19.627,14.002,16.40858333
5/5/2015,19.008,14.026,15.88559722
5/6/2015,19.603,13.425,15.86145833
5/7/2015,17.344,12.654,14.69871528
5/8/2015,14.673,11.71,12.8753125
5/9/2015,12.364,10.001,11.07879861
5/10/2015,19.294,9.435,13.54402083
5/11/2015,19.246,9.879,14.10792361
5/12/2015,18.533,11.127,14.55761806
5/13/2015,19.603,11.929,15.35278472
5/14/2015,15.891,12.992,14.29126389
5/15/2015,15.055,11.321,12.95179861
5/16/2015,14.361,10.051,12.08988889
5/17/2015,18.866,9.903,13.85013889
5/18/2015,15.724,11.783,13.56834722
5/19/2015,18.913,10.222,14.16696528
5/20/2015,17.724,10.638,13.98070833
5/21/2015,17.106,10.541,13.57772222
5/22/2015,15.175,11.102,13.29310417
5/23/2015,14.721,11.637,12.90008333
5/24/2015,17.249,11.662,13.97068056
5/25/2015,21.366,12.316,15.92960417
5/26/2015,21.032,13.137,16.67429861
5/27/2015,22.537,12.944,17.17519444
5/28/2015,22.034,13.185,17.25979861
5/29/2015,23.713,14.816,18.54973611
5/30/2015,22.896,14.146,18.42695833
5/31/2015,24.605,13.954,18.92069444
6/1/2015,23.545,14.194,18.51845833
6/2/2015,23.593,13.522,18.26350694
6/3/2015,22.92,12.751,17.770875
6/4/2015,21.628,12.799,17.18872917
6/5/2015,20.103,13.834,16.68574306
6/6/2015,22.345,14.122,17.47928472
6/7/2015,22.657,14.146,17.77956944
6/8/2015,24.46,13.57,18.49745833
6/9/2015,19.865,14.337,17.31641667
6/10/2015,23.304,16.463,19.29325694
6/11/2015,24.098,16.915,20.23031944
6/12/2015,24.05,16.082,19.80611806
6/13/2015,24.436,16.129,20.1873125
6/14/2015,25.428,15.867,20.31591667
6/15/2015,24.291,16.225,20.29020139
6/16/2015,25.21,16.082,20.37522917
6/17/2015,24.895,14.026,19.41360417
6/18/2015,25.55,14.218,19.74675694
6/19/2015,25.258,14.122,19.65499306
6/20/2015,25.841,14.433,20.04852083
6/21/2015,24.629,15.008,19.81283333
6/22/2015,25.793,15.247,20.41131944
6/23/2015,25.525,15.652,20.67552778
6/24/2015,25.647,15.7,20.77995833
6/25/2015,26.036,15.819,20.965375
6/26/2015,26.769,16.463,21.68424306
6/27/2015,26.818,18.105,22.49591667
6/28/2015,27.481,18.2,22.79738194
6/29/2015,27.677,18.818,23.43793056
6/30/2015,26.256,19.817,23.38638194
7/1/2015,28.345,19.436,23.58549306
7/2/2015,27.85,21.342,24.16491667
7/3/2015,24.726,19.127,22.12522222
7/4/2015,22.896,19.865,21.36741667
7/5/2015,24.726,18.176,21.29274306
7/6/2015,22.13,18.866,20.31121528
7/7/2015,24.702,17.915,20.58720139
7/8/2015,22.441,17.225,19.74726389
7/9/2015,24.339,16.249,19.91726389
7/10/2015,23.448,16.415,19.76647222
7/11/2015,22.8,15.247,19.04365278
7/12/2015,25.089,14.625,19.6350625
7/13/2015,25.695,15.103,20.34095833
7/14/2015,24.267,16.32,20.43546528
7/15/2015,25.671,17.391,21.32866667
7/16/2015,25.162,15.843,20.69549306
7/17/2015,25.137,16.415,20.87217361
7/18/2015,22.13,18.2,19.93745833
7/19/2015,25.307,17.32,20.41438194
7/20/2015,22.011,18.271,19.7965625
7/21/2015,25.428,17.415,20.78401389
7/22/2015,24.774,16.749,20.56570139
7/23/2015,25.428,16.01,20.47497917
7/24/2015,25.21,15.652,20.38215972
7/25/2015,25.695,15.223,20.31348611
7/26/2015,25.016,14.816,19.91960417
7/27/2015,24.412,15.485,20.05334028
7/28/2015,24.219,15.055,19.81711806
7/29/2015,24.847,15.629,20.33961111
7/30/2015,24.798,16.963,21.22827778
7/31/2015,23.376,18.343,21.173375
8/1/2015,24.05,18.842,21.40720139
8/2/2015,24.702,19.389,21.71943056
8/3/2015,25.744,17.51,21.659625
8/4/2015,25.258,16.677,21.09934028
8/5/2015,23.256,15.939,19.99158333
8/6/2015,23.16,15.485,19.54838194
8/7/2015,21.27,18.485,19.51901389
8/8/2015,23.376,17.748,19.96013889
8/9/2015,24.146,16.106,19.82109028
8/10/2015,25.162,16.939,21.02814583
8/11/2015,22.513,18.224,19.69410417
8/12/2015,25.428,18.057,20.94745833
8/13/2015,25.963,17.629,21.51396528
8/14/2015,24.629,18.105,21.28909028
8/15/2015,25.72,17.915,21.57313889
8/16/2015,25.55,17.391,21.41952778
8/17/2015,25.404,17.368,21.30853472
8/18/2015,24.944,16.796,20.89913889
8/19/2015,23.641,15.533,19.75871528
8/20/2015,24.098,15.748,19.91899306
8/21/2015,24.412,16.415,20.47551389
8/22/2015,25.331,17.891,21.50349306
8/23/2015,25.501,17.201,21.26275694
8/24/2015,25.38,16.511,20.91411111
8/25/2015,22.585,17.13,20.10242361
8/26/2015,23.785,18.889,20.61645139
8/27/2015,24.363,17.891,20.65061806
8/28/2015,24.315,16.701,20.51802778
8/29/2015,24.532,16.677,20.62378472
8/30/2015,22.441,17.534,20.26016667
8/31/2015,23.617,17.439,20.29163194
9/1/2015,24.677,17.748,20.90851389
9/2/2015,22.92,16.796,19.89638194
9/3/2015,23.28,16.677,19.73330556
9/4/2015,21.366,16.249,18.82782639
9/5/2015,21.366,16.415,18.53314583
9/6/2015,22.92,15.294,18.74716667
9/7/2015,24.532,17.748,20.59604861
