Date,Anatoxin-a concentration,Waterbody,Method,Site,Sample ID,
7/9/2020,0,North Fork,Benthic,Narrows,CYNAR4,
7/9/2020,0,North Fork,Benthic,Narrows,CYNAR6,
7/9/2020,163.5,North Fork,Benthic,Flanigan,CYFLA4,
7/9/2020,46.7,North Fork,Benthic,Flanigan,CYFLA6,
7/9/2020,550,North Fork,Benthic,Dog,CYDOG4,
7/9/2020,48.7,North Fork,Benthic,Dog,CYDOG6,
7/9/2020,139.4,North Fork,Benthic,Zion VC,ZVC1,
7/15/2020,684,North Fork,Benthic,Zion Lodge,CYLOD3,
7/15/2020,436,North Fork,Benthic,Flanigan,CYFLA10,
7/15/2020,205,North Fork,Benthic,Zion VC,CYZVC4,
7/20/2020,550,North Fork,Benthic Disturbance,Zion Lodge,CYLOD4,
7/20/2020,67.3,North Fork,Benthic Disturbance,Flanigan,CYFLA12,
7/20/2020,550,North Fork,Benthic Disturbance,Flanigan,CYFLA13,
7/20/2020,0.54,North Fork,Benthic Disturbance,Visitor Center,CYZVC5,
7/20/2020,0,North Fork,Benthic Disturbance,Visitor Center,CYZVC6,
7/29/2020,34.6,North Fork,Benthic Disturbance,Narrows,CYNAR13,
7/29/2020,0.13,North Fork,Benthic Disturbance,Narrows,CYNAR14,
7/29/2020,588,North Fork,Benthic Disturbance,Temple,CYTEM1,
9/9/2020,550,North Fork,Benthic Disturbance,Narrows,CYNAR17,
9/9/2020,550,North Fork,Benthic Disturbance,Temple,CYTEM2,
9/9/2020,216,North Fork,Benthic Disturbance,Flanigan,CYFLA24,
9/9/2020,25.4,North Fork,Benthic Disturbance,Zion VC,CYZVC10,
10/29/2020,1.68,North Fork,Benthic Disturbance,Narrows,CYNAR19,
10/29/2020,6.6,North Fork,Benthic Disturbance,Temple,CYTEM5,
10/29/2020,0,North Fork,Benthic Disturbance,Flanigan,CYFLA28,
10/29/2020,0.055,North Fork,Benthic Disturbance,Zion VC,CYZVC13,
11/18/2020,0,North Fork,Benthic Disturbance,Temple,CYTEM6,
11/18/2020,0,North Fork,Benthic Disturbance,Flanigan,CYFLA29,
11/18/2020,0,North Fork,Benthic Disturbance,Zion VC,CYZCV16,
12/15/2020,0,North Fork,Benthic Disturbance,Temple,CYTEM7,
12/15/2020,0,North Fork,Benthic Disturbance,Flanigan,CYFLA30,
12/15/2020,0,North Fork,Benthic Disturbance,Zion VC,CYZVC18,
1/8/2021,0,North Fork,Benthic Disturbance,Temple,CYTEM8,
1/8/2021,0,North Fork,Benthic Disturbance,Flanigan,CYFLA31,
1/8/2021,0,North Fork,Benthic Disturbance,Zion VC,CYZVC20,
3/10/2021,390,North Fork,Benthic Disturbance,Temple of Sinawava,CYTEM11,
4/13/2021,0,North Fork,Benthic Disturbance,Temple of Sinawava,,
4/13/2021,0,North Fork,Benthic Disturbance,Above Flanigan Diversion Dam,,
4/13/2021,0,North Fork,Benthic Disturbance,Visitor Center,,
5/3/2021,0,North Fork,Benthic Disturbance,Temple of Sinawava,,
5/3/2021,0,North Fork,Benthic Disturbance,Above Flanigan Diversion Dam,,
5/3/2021,0,North Fork,Benthic Disturbance,Visitor Center,,
5/25/2021,6.34,North Fork,Benthic Disturbance,Temple of Sinawava,,
5/25/2021,0,North Fork,Benthic Disturbance,Narrows,,
5/25/2021,0,North Fork,Benthic Disturbance,Above Flanigan Diversion Dam,,
5/25/2021,0,North Fork,Benthic Disturbance,Visitor Center,,
6/28/2021,0.528,North Fork,Benthic Disturbance,Temple of Sinawava,,
6/28/2021,0,North Fork,Benthic Disturbance,Narrows,,
6/28/2021,2.381,North Fork,Benthic Disturbance,Above Flanigan Diversion Dam,,
7/2/2021,2.831,North Fork,Benthic Disturbance,Above Flanigan Diversion Dam,,
7/2/2021,0,North Fork,Benthic Disturbance,Temple of Sinawava,,
7/14/2021,0.594,North Fork,Benthic disturbance,Narrows,,
7/14/2021,0,North Fork,Benthic disturbance,Temple of Sinawava,,
7/14/2021,6.97,North Fork,Benthic disturbance,Above Flanigan Diversion Dam,,
7/14/2021,0,North Fork,Benthic disturbance,Visitor Center,,
