Date,Discharge (cfs),  flag,  stage_height,  flag,   ,
10/1/2007,37.5,  A,0.33,  A,  , 
10/2/2007,39.1,  A,0.35,  A,  , 
10/3/2007,37.1,  A,0.32,  A,  , 
10/4/2007,35.6,  A,0.3,  A,  , 
10/5/2007,35.8,  A,0.3,  A,  , 
10/6/2007,36,  A,0.31,  A,  , 
10/7/2007,37,  A,0.32,  A,  , 
10/8/2007,37.3,  A,0.33,  A,  , 
10/9/2007,35.8,  A,0.31,  A,  , 
10/10/2007,36.8,  A,0.32,  A,  , 
10/11/2007,35.9,  A,0.31,  A,  , 
10/12/2007,37.4,  A,0.33,  A,  , 
10/13/2007,37.9,  A,0.33,  A,  , 
10/14/2007,37.5,  A,0.33,  A,  , 
10/15/2007,38.5,  A,0.34,  A,  , 
10/16/2007,38.5,  A,0.34,  A,  , 
10/17/2007,39.7,  A,0.36,  A,  , 
10/18/2007,38.7,  A,0.34,  A,  , 
10/19/2007,39.7,  A,0.36,  A,  , 
10/20/2007,40.6,  A,0.37,  A,  , 
10/21/2007,39,  A,0.35,  A,  , 
10/22/2007,39.9,  A,0.36,  A,  , 
10/23/2007,40.2,  A,0.36,  A,  , 
10/24/2007,41.1,  A,0.37,  A,  , 
10/25/2007,40.3,  A,0.36,  A,  , 
10/26/2007,40.1,  A,0.36,  A,  , 
10/27/2007,40.8,  A,0.37,  A,  , 
10/28/2007,42.6,  A,0.39,  A,  , 
10/29/2007,43.8,  A,0.4,  A,  , 
10/30/2007,45.1,  A,0.41,  A,  , 
10/31/2007,43.9,  A,0.4,  A,  , 
11/1/2007,44.8,  A,0.41,  A,  , 
11/2/2007,45.7,  A,0.42,  A,  , 
11/3/2007,45.6,  A,0.42,  A,  , 
11/4/2007,45.6,  A,0.42,  A,  , 
11/5/2007,46.3,  A,0.43,  A,  , 
11/6/2007,46.2,  A,0.43,  A,  , 
11/7/2007,45.6,  A,0.42,  A,  , 
11/8/2007,45,  A,0.41,  A,  , 
11/9/2007,45.7,  A,0.42,  A,  , 
11/10/2007,45.9,  A,0.42,  A,  , 
11/11/2007,45.9,  A,0.42,  A,  , 
11/12/2007,48.4,  A,0.45,  A,  , 
11/13/2007,47.2,  A,0.44,  A,  , 
11/14/2007,46.6,  A,0.43,  A,  , 
11/15/2007,47.3,  A,0.44,  A,  , 
11/16/2007,46.6,  A,0.43,  A,  , 
11/17/2007,47,  A,0.43,  A,  , 
11/18/2007,46.6,  A,0.43,  A,  , 
11/19/2007,46.7,  A,0.43,  A,  , 
11/20/2007,47.2,  A,0.44,  A,  , 
11/21/2007,46.4,  A,0.42,  A,  , 
11/22/2007,43.4,  A,0.38,  A,  , 
11/23/2007,48.9,  A,0.45,  A,  , 
11/24/2007,42.8,  A,0.37,  A,  , 
11/25/2007,44.6,  A,0.4,  A,  , 
11/26/2007,49.1,  A,0.45,  A,  , 
11/27/2007,43.7,  A,0.38,  A,  , 
11/28/2007,45,  A,0.4,  A,  , 
11/29/2007,40.7,  A,0.35,  A,  , 
11/30/2007,75.5,  A,0.65,  A,  , 
12/1/2007,151,  A,1.15,  A,  , 
12/2/2007,48.9,  A,0.44,  A,  , 
12/3/2007,45.1,  A,0.4,  A,  , 
12/4/2007,50.2,  A,0.45,  A,  , 
12/5/2007,53.2,  A,0.48,  A,  , 
12/6/2007,54,  A,0.49,  A,  , 
12/7/2007,371,  A,1.82,  A,  , 
12/8/2007,101,  A,0.89,  A,  , 
12/9/2007,70,  A,0.65,  A,  , 
12/10/2007,51.8,  A,0.46,  A,  , 
12/11/2007,51.9,  A,0.46,  A,  , 
12/12/2007,44.3,  A,0.37,  A,  , 
12/13/2007,47.6,  A,0.41,  A,  , 
12/14/2007,44.9,  A,0.38,  A,  , 
12/15/2007,37.5,  A,0.29,  A,  , 
12/16/2007,39.2,  A,0.31,  A,  , 
12/17/2007,44.7,  A,0.38,  A,  , 
12/18/2007,47.4,  A,0.41,  A,  , 
12/19/2007,50.9,  A,0.46,  A,  , 
12/20/2007,51.8,  A,0.47,  A,  , 
12/21/2007,49.5,  A,0.44,  A,  , 
12/22/2007,40.9,  A,0.33,  A,  , 
12/23/2007,39.5,  A,0.31,  A,  , 
12/24/2007,46.9,  A,0.41,  A,  , 
12/25/2007,47.8,  A,0.42,  A,  , 
12/26/2007,40.6,  A,0.33,  A,  , 
12/27/2007,38.4,  A,0.3,  A,  , 
12/28/2007,37.3,  A,0.29,  A,  , 
12/29/2007,38.5,  A,0.3,  A,  , 
12/30/2007,40.9,  A,0.33,  A,  , 
12/31/2007,43.3,  A,0.36,  A,  , 
1/1/2008,41.3,  A,0.34,  A,  , 
1/2/2008,40.2,  A,0.32,  A,  , 
1/3/2008,43.8,  A,0.37,  A,  , 
1/4/2008,47.2,  A,0.41,  A,  , 
1/5/2008,766,  A,2.76,  A,  , 
1/6/2008,112,  A,1,  A,  , 
1/7/2008,66.8,  A,0.67,  A,  , 
1/8/2008,52.7,  A,0.53,  A,  , 
1/9/2008,51.4,  A,0.51,  A,  , 
1/10/2008,48.8,  A,0.49,  A,  , 
1/11/2008,48.8,  A,0.49,  A,  , 
1/12/2008,47,  A,0.46,  A,  , 
1/13/2008,46.7,  A,0.46,  A,  , 
1/14/2008,44.8,  A,0.44,  A,  , 
1/15/2008,44,  A,0.43,  A,  , 
1/16/2008,44.2,  A,0.43,  A,  , 
1/17/2008,38.5,  A,0.36,  A,  , 
1/18/2008,38.4,  A,0.36,  A,  , 
1/19/2008,43.5,  A,0.42,  A,  , 
1/20/2008,44.4,  A,0.43,  A,  , 
1/21/2008,45.7,  A,0.45,  A,  , 
1/22/2008,47.6,  A,0.47,  A,  , 
1/23/2008,46.5,  A,0.46,  A,  , 
1/24/2008,47.9,  A,0.48,  A,  , 
1/25/2008,47.6,  A,0.47,  A,  , 
1/26/2008,46.4,  A,0.46,  A,  , 
1/27/2008,52.5,  A,0.52,  A,  , 
1/28/2008,54.6,  A,0.55,  A,  , 
1/29/2008,39.3,  A,0.37,  A,  , 
1/30/2008,44.6,  A,0.43,  A,  , 
1/31/2008,46.9,  A,0.46,  A,  , 
2/1/2008,45.4,  A,0.45,  A,  , 
2/2/2008,49.8,  A,0.5,  A,  , 
2/3/2008,57.1,  A,0.57,  A,  , 
2/4/2008,50,  A,0.5,  A,  , 
2/5/2008,46.9,  A,0.46,  A,  , 
2/6/2008,45.1,  A,0.44,  A,  , 
2/7/2008,49.2,  A,0.49,  A,  , 
2/8/2008,52.9,  A,0.53,  A,  , 
2/9/2008,54.2,  A,0.54,  A,  , 
2/10/2008,56.1,  A,0.56,  A,  , 
2/11/2008,59.3,  A,0.6,  A,  , 
2/12/2008,59.3,  A,0.6,  A,  , 
2/13/2008,64.1,  A,0.64,  A,  , 
2/14/2008,73.4,  A,0.72,  A,  , 
2/15/2008,52,  A,0.52,  A,  , 
2/16/2008,57.4,  A,0.58,  A,  , 
2/17/2008,57.1,  A,0.57,  A,  , 
2/18/2008,55.6,  A,0.56,  A,  , 
2/19/2008,58.6,  A,0.59,  A,  , 
2/20/2008,63.7,  A,0.64,  A,  , 
2/21/2008,61.4,  A,0.62,  A,  , 
2/22/2008,75.1,  A,0.73,  A,  , 
2/23/2008,87.4,  A,0.84,  A,  , 
2/24/2008,72.4,  A,0.72,  A,  , 
2/25/2008,75.7,  A,0.74,  A,  , 
2/26/2008,64.6,  A,0.65,  A,  , 
2/27/2008,61.8,  A,0.62,  A,  , 
2/28/2008,64.8,  A,0.65,  A,  , 
2/29/2008,72.4,  A,0.72,  A,  , 
3/1/2008,83.3,  A,0.81,  A,  , 
3/2/2008,77.7,  A,0.76,  A,  , 
3/3/2008,58,  A,0.58,  A,  , 
3/4/2008,63.6,  A,0.63,  A,  , 
3/5/2008,60.2,  A,0.6,  A,  , 
3/6/2008,55.4,  A,0.55,  A,  , 
3/7/2008,58,  A,0.58,  A,  , 
3/8/2008,62.8,  A,0.63,  A,  , 
3/9/2008,62.3,  A,0.63,  A,  , 
3/10/2008,64.5,  A,0.65,  A,  , 
3/11/2008,68.4,  A,0.68,  A,  , 
3/12/2008,75.3,  A,0.74,  A,  , 
3/13/2008,75.1,  A,0.74,  A,  , 
3/14/2008,86.7,  A,0.83,  A,  , 
3/15/2008,76.2,  A,0.75,  A,  , 
3/16/2008,70.1,  A,0.7,  A,  , 
3/17/2008,59,  A,0.59,  A,  , 
3/18/2008,62.6,  A,0.63,  A,  , 
3/19/2008,67.6,  A,0.68,  A,  , 
3/20/2008,73.9,  A,0.73,  A,  , 
3/21/2008,84.6,  A,0.82,  A,  , 
3/22/2008,84.8,  A,0.82,  A,  , 
3/23/2008,83.8,  A,0.81,  A,  , 
3/24/2008,86.5,  A,0.84,  A,  , 
3/25/2008,92.2,  A,0.88,  A,  , 
3/26/2008,101,  A,0.94,  A,  , 
3/27/2008,120,  A,1.07,  A,  , 
3/28/2008,113,  A,1.03,  A,  , 
3/29/2008,110,  A,1.01,  A,  , 
3/30/2008,147,  A,1.23,  A,  , 
3/31/2008,125,  A,1.1,  A,  , 
4/1/2008,99.7,  A,0.94,  A,  , 
4/2/2008,97.2,  A,0.94,  A,  , 
4/3/2008,102,  A,0.97,  A,  , 
4/4/2008,111,  A,1.03,  A,  , 
4/5/2008,112,  A,1.04,  A,  , 
4/6/2008,128,  A,1.14,  A,  , 
4/7/2008,133,  A,1.17,  A,  , 
4/8/2008,129,  A,1.14,  A,  , 
4/9/2008,127,  A,1.13,  A,  , 
4/10/2008,110,  A,1.02,  A,  , 
4/11/2008,101,  A,0.96,  A,  , 
4/12/2008,101,  A,0.96,  A,  , 
4/13/2008,142,  A,1.21,  A,  , 
4/14/2008,203,  A,1.51,  A,  , 
4/15/2008,260,  A,1.75,  A,  , 
4/16/2008,232,  A,1.63,  A,  , 
4/17/2008,154,  A,1.28,  A,  , 
4/18/2008,164,  A,1.33,  A,  , 
4/19/2008,206,  A,1.53,  A,  , 
4/20/2008,218,  A,1.58,  A,  , 
4/21/2008,190,  A,1.46,  A,  , 
4/22/2008,181,  A,1.42,  A,  , 
4/23/2008,205,  A,1.52,  A,  , 
4/24/2008,211,  A,1.55,  A,  , 
4/25/2008,173,  A,1.38,  A,  , 
4/26/2008,176,  A,1.39,  A,  , 
4/27/2008,173,  A,1.38,  A,  , 
4/28/2008,189,  A,1.45,  A,  , 
4/29/2008,213,  A,1.56,  A,  , 
4/30/2008,245,  A,1.69,  A,  , 
5/1/2008,205,  A,1.53,  A,  , 
5/2/2008,162,  A,1.32,  A,  , 
5/3/2008,160,  A,1.32,  A,  , 
5/4/2008,164,  A,1.33,  A,  , 
5/5/2008,175,  A,1.39,  A,  , 
5/6/2008,181,  A,1.42,  A,  , 
5/7/2008,182,  A,1.42,  A,  , 
5/8/2008,266,  A,1.78,  A,  , 
